dialect	pos	standard
아문	관형사	아무
아부지	명사	아비
아붕이	명사	아버지
아수보다	동사	동생이 생기
아수타다	동사	동생이 생긴 뒤 아이가 여위
아슴하다	형용사	아슴푸레하다
아시	명사	아우
아시당초	명사	애초
아시보다	동사	동생이 생기
아시웁다	형용사	아쉽다
아애비	명사	아비
아오	명사	아우
아이	부사	아니
아이빨래	명사	애벌빨래
아이씨	명사	아저씨
아이야	감탄사	아니야
아재	명사	시동생
아재씨	명사	아저씨
아적	명사	아침
아적	부사	아직
아적밥	명사	아침밥
아제	명사	아저씨
아제씨	명사	아저씨
아주꽈리	명사	아주까리
아주매	명사	아주머니
아주번님	명사	아주버님
아줌니	명사	아주머니
아즈매	명사	아주머니
아즈버니	명사	아주버니
아지래히	명사	아지랑이
아지랭히	명사	아지랑이
아지매	명사	아주머니
아지메	명사	아주머니
아지미	명사	형수
아직북새	명사	아침노을
아짐니	명사	아주머니
아치럽다	형용사	애처롭다
아훕	수·관	아홉
안개오줌	명사	는개
안들	명사	아낙네
안뱅	명사	안방
안씨럽다	형용사	안쓰럽다
안안팎	명사	안팎
안조카	명사	조카딸
안체다	동사	앉히다
안키다	동사	안기다
알가미	명사	아가미
알감지	명사	아가미
알개미	명사	아가미
알기다	동사	알리다
알락거리다	동사	알랑거리다
알레지다	동사	알려지다
알류다	동사	알리다
알리지다	동사	알려지다
알빰	명사	알밤
알아채리다	동사	알아차리다
알키다	동사	알리다
암	대명사	아무
암고냉이	명사	암고양이
암고냥이	명사	암고양이
암고앵이	명사	암고양이
암괴	명사	암고양이
암껑	명사	암꿩
암놈	명사	암쇠
암달	명사	암탉
암돌짜구	명사	암톨쩌귀
암만	감탄사	아무렴
암쇠	명사	암소
암스렁하다	형용사	아무렇다
암시렁하다	형용사	아무렇다
암중쇠	명사	암쇠
암코양이	명사	암고양이
암쾌이	명사	암고양이
암탘	명사	암탉
암톨쪼구	명사	암톨쩌귀
압	명사	앞
앞닫이	명사	반닫이
앞장개이	명사	앞정강이
앞종개이	명사	앞정강이
앞치매	명사	앞치마
애	명사	오이
애	부사	왜
애	명사	참외
애가리	명사	왜가리
애기손가락	명사	새끼손가락
애다	동사	외다
애룹다	형용사	외롭다
애씨	명사	아가씨
애우다	동사	외다
애편네	명사	여편네
앤경다리	명사	안경다리
앵개손가락	명사	새끼손가락
야	품사 없음	얘
야달	수·관	여덟
야드레	명사	여드레
야마빡	명사	이마빡
야무락지다	형용사	야무지다
야비다	동사	야위다
야중	명사	나중
야추다	동사	낮추다
야트다	형용사	얕다
야튼	부사	여하튼
얌새이	명사	염소
얌생이	명사	염소
양님장	명사	양념장
양대	명사	동부
양쟁기	명사	쟁기
양중	명사	나중
얖다	형용사	얕다
어검니	명사	어금니
어곰니	명사	어금니
어그적거리다	동사	어기적거리다
어긋장	명사	어깃장
어까리	명사	닭의어리
어깨빠지	명사	어깨
어끼	명사	어깨
어너리	명사	에누리
어더뱅이	명사	거지
어덩박지	명사	거지
어둑시근하다	형용사	어스레하다
어드룸	명사	여드름
어떠케	부사	어찌나
어떠키	부사	어찌나
어떡	명사	언덕
어뜬	관형사	어떤
어띃게	부사	어찌
어런	명사	어른
어렝이	명사	어레미
어룹다	형용사	어렵다
어른아	명사	어린애
어리뱅이	명사	어리보기
어린애기	명사	어린아이
어린양	명사	어리광
어마	명사	엄마
어머양	명사	어머니
어머이	명사	어머니
어무이	명사	어머니
어빠	명사	오빠
어세다	형용사	억세다
어스럼	명사	으스름
어시다	형용사	억세다
어울르다	동사	어우르다
어중잽이	명사	어정잡이
어지	부사	어제
어지	명사	어제
어질르다	동사	어지르다
어짜다	부사	어쩌다
어쩌튼	부사	어쨌든
어쳉이	명사	언청이
어터게	부사	어찌
어턱하다	부사	어쩌다
어트게	부사	어찌
어틓게	부사	어찌
어티기	부사	어찌
어풍	부사	빨리
억배기	명사	얽빼기
억시기	부사	엄청
억지르다	동사	엎지르다
언간하다	형용사	어지간하다
언구락	명사	엄살
언그럭	명사	엄살
언나	명사	어린아이
언내	명사	어린아이
언늠	부사	얼른
언둑	명사	언덕
언떡	명사	언덕
언뜩	부사	언뜻
언매	명사	얼마
언시이	명사	원숭이
언칭이	명사	언청이
얹히다	동사	앉히다
얻어배기	명사	거지
얼개미	명사	올가미
얼개이	명사	어레미
얼겡이	명사	어레미
얼구미	명사	어레미
얼근빗	명사	얼레빗
얼라	명사	어린아이
얼래미	명사	어레미
얼렁얼렁	부사	얼른얼른
얼릉	부사	얼른
얼리빗	명사	얼레빗
얼만침	품사 없음	얼마큼
얼매끔	품사 없음	얼마큼
얼맹이	명사	어레미
얼멍체	명사	어레미
얼메이	명사	어레미
얼멩이	명사	어레미
얼음말타기	명사	얼음지치기
얼챙이	명사	언청이
얼척	명사	어처구니
얼청이	명사	언청이
얼쳉이	명사	언청이
엄따	형용사	없다
엄메	명사	어머니
엄악	명사	음악
업뎅이	명사	업둥이
엉구락	명사	엄살
엉떡	명사	언덕
엉살	명사	엄살
엉아	명사	형
에나무다리	명사	외나무다리
에룹다	형용사	외롭다
에뿌다	형용사	예쁘다
에상	명사	외상
에양간	명사	외양간
에어싸다	동사	에워싸다
에조카	명사	외종질
에펜네	명사	여편네
에핀네	명사	여편네
에할매	명사	외할머니
에할매	감탄사	외할머니
엔	관형사	왼
엔기	명사	연기
엔손	명사	왼손
엡히다	동사	업히다
엡히다	동사	업히다
엣날얘기	명사	옛날이야기
엥기다	동사	옮기다
여개	대명사	여기
여게	대명사	여기
여달	수·관	여덟
여동상	명사	여동생
여드래미	명사	여드름
여떨	수·관	여덟
여룸	명사	여름
여미기	명사	여물
여미깃간	명사	여물간
여쁘다	형용사	예쁘다
여쉰	수·관	예순
여적	부사	여태
여펀네	명사	여편네
여호	명사	여우
역부로	부사	일부러
연감기	명사	얼레
열다	동사	널다
열시	명사	열쇠
열얼	명사	열흘
열치	명사	여치
염세	명사	염소
염세이	명사	염소
엿쇄	명사	엿새
엿을보다	동사	엿보다
엿장사	명사	소금쟁이
엿장수	명사	소금쟁이
엿질굼	명사	엿기름
엿질금	명사	엿기름
영가시	명사	버마재비
영마람	명사	용마름
예달재	명사	달강어
예삐다	형용사	예쁘다
예수	명사	여우
예쉰	수·관	예순
예식	명사	여식
예우다	동사	여의다
예자	명사	여자
옘병	명사	염병
오곰재이	명사	오금
오굼재이	명사	오금
오굼팽이	명사	오금
오금댕이	명사	오금
오금재이	명사	오금
오눌	명사	오늘
오눌	부사	오늘
오대	명사	오디
오덜개	명사	오디
오동	명사	오디
오두	명사	오디
오두개	명사	오디
오들개	명사	오디
오디	대명사	어디
오라바이	명사	오라버니
오라벙이	명사	오라버니
오라부니	명사	오라버니
오랍쎄	명사	오빠
오랍씨	명사	오라버니
오래비	명사	오라비
오랭이	명사	오라기
오레기	명사	오라기
오룬손	명사	오른손
오르다	동사	옮다
오르래오르래	감탄사	오래오래
오른펜	명사	오른편
오른폴	명사	오른팔
오리다	동사	오르다
오리다	동사	옮다
오리짝	명사	오른쪽
오린손	명사	오른손
오린짝손	명사	오른손
오메	명사	엄마
오박	명사	우박
오빠치	명사	땅벌
오삼춘	명사	외삼촌
오야	감탄사	오냐
오약	관형사	왼
오이다	동사	외다
오이려	부사	오히려
오이사촌	명사	외사촌
오이소백이	명사	오이소박이김치
오이속배기	명사	오이소박이김치
오이할머니	명사	외할머니
오이할머니	감탄사	외할머니
오이할아버지	명사	외할아버지
오이할아버지	감탄사	외할아버지
오좀싸개	명사	사마귀
오줌싸개	명사	사마귀
오중에	명사	오징어
오즘	명사	오줌
오지다	형용사	옹골지다
오지에	명사	오징어
오짐	명사	오줌
오징아	명사	오징어
오째서	부사	어째서
오큼	의존 명사	움큼
옥데끼	명사	옥수수
옥덱기	명사	옥수수
옥수갱이	명사	옥수수
옥수시	명사	옥수수
옥쉬기	명사	옥수수
옥시기강정	명사	강냉이
옥시끼	명사	옥수수
올갱이	명사	다슬기
올게	명사	올케
올러가다	동사	올라가다
올리보다	동사	올려다보다
올매나	부사	얼마나
올뱅이	명사	다슬기
올삐미	명사	올빼미
올칭이	명사	올챙이
올캥이	명사	올가미
올히	명사	올해
옴마	명사	엄마
옴매	명사	엄마
옴살	명사	엄살
옴지손구락	명사	엄지손가락
옴치다	동사	움키다
옷거름	명사	옷고름
옷고룸	명사	옷고름
옷구럼	명사	옷고름
옷구름	명사	옷고름
옷그름	명사	옷고름
옹가지	명사	옹자배기
옹구	명사	옹기
옹구	명사	옹자배기
옹구그럭	명사	질그릇
옹기그럭	명사	옹기그릇
옹당샘	명사	옹달샘
옹심이	명사	새알심
옹애	명사	자두
옹패기	명사	옹배기
와가리	명사	왜가리
완장	명사	안장
완저이	부사	완전히
왕개	명사	왕겨
왕게	명사	왕겨
왕기	명사	왕겨
왕등게	명사	왕겨
왕왱이	부사	왕왕
왕제	명사	왕겨
왜국	명사	외국
왜나무다리	명사	외나무다리
왜동아들	명사	외동아들
왜삼춘	명사	외삼촌
왜야	감탄사	왜
왜쟁기	명사	쟁기
왜조카	명사	외종질
왜치	명사	자두
왜치다	동사	외치다
왜할배	명사	외할아버지
왜할배	감탄사	외할아버지
왠손	명사	왼손
왱기	명사	왕겨
왱이	명사	왕
외	명사	참외
외간장	명사	왜간장
외눈텡이	명사	애꾸
외룹다	형용사	외롭다
외말	명사	외동
외삼춘	명사	외삼촌
외소님	명사	천연두
외이	명사	오이
외질	명사	외길
왼몸	명사	온몸
왼손잽이	명사	왼손잡이
왼짝손	명사	왼손
왼통	명사	온통
왼통	부사	온통
요	대명사	요기
요강단지	명사	요강
요껍디기	명사	욧잇
요잇	명사	욧잇
요좀	명사	요즘
요주움	명사	요즈음
요줌	명사	요즘
요즈움	명사	요즈음
요짓	명사	욧잇
요호지	명사	욧잇
요홑이불	명사	욧잇
욧이	명사	요의
용구새	명사	용마름
용모롬	명사	용마름
용모룸	명사	용마름
용모름	명사	용마름
용모리	명사	용마름
우	명사	위
우각	명사	우박
우럭으로	부사	억지로
우렁세이	명사	우렁이
우묵	명사	윗목
우앙	명사	우엉
우짜다	동사	어쩌다
우째	부사	어찌
우째다	부사	어쩌다
우쨌든	부사	어쨌든
우타리	명사	울타리
우턱하다	부사	어쩌다
우틔	명사	옷
우항	명사	우엉
운수	명사	우수리
운제	대명사	언제
운제	부사	언제
울굴	명사	우물
울마나	부사	얼마나
울매	명사	얼마
움따	형용사	없다
움치다	동사	움키다
웂이다	동사	없애다
웃마	명사	윗마을
웅굴	명사	우물
웅덩	명사	웅덩이
웅데이	명사	구덩이
웅데이	명사	우물
웅딩이	명사	웅덩이
웅쿠리다	동사	웅크리다
워디	대명사	어디
원뎅이	명사	줄기
원둥치	명사	줄기
원등거지	명사	줄기
원망	명사	원만
원성이	명사	원숭이
원승이	명사	원숭이
원줄기	명사	줄기
월매나	부사	얼마나
월챙이	명사	올챙이
웨다	동사	외다
웨삼춘	명사	외삼촌
웨손녀	명사	외손녀
웨토	명사	외투
웨할아버지	명사	외할아버지
웨할아버지	감탄사	외할아버지
웬손잽이	명사	왼손잡이
웬쑤	명사	원수
웬폴	명사	왼팔
위비다	동사	우비다
윈손	명사	왼손
윎기다	동사	옮기다
윗쉬염	명사	윗수염
육땅	명사	뭍
윤뒤	명사	인두
윶	명사	이웃
으깨	명사	어깨
으는	조사	은
으드박씨	명사	거지
으문	어미	-으면
으붓아버지	명사	의붓아버지
으스럼	명사	어스름
으시름	명사	으스름
으이	어미	-으니
으쟁이뜨쟁이	명사	어중이떠중이
으째다가	부사	어쩌다가
으찌	부사	어찌
으터게	부사	어찌
윽새	명사	억새
은냉	명사	은행
은앙	명사	은행
은앙나무	명사	은행나무
은애	명사	은어
은제	대명사	언제
은제	부사	언제
은항	명사	은행
을마나	부사	얼마나
읋다	동사	읊다
응께	어미	-으니까
응덩방아	명사	엉덩방아
응등방아	명사	엉덩방아
응산	명사	응달
이끄러지다	동사	일그러지다
이니	대명사	이이
이두름	명사	여드름
이드래미	명사	여드름
이드레	명사	이레
이드룸	명사	여드름
이따끔	부사	이따금
이락	조사	이라고
이렘	명사	이름
이리	명사	이레
이리기	명사	읽기
이리다	동사	일다
이마팍	명사	이마빡
이망떼기	명사	이마빼기
이망빼기	명사	이마빼기
이무	명사	이모
이발독	명사	기계총
이발충	명사	기계총
이붓아버이	명사	의붓아버지
이붓어머이	명사	의붓어머니
이빠디	명사	이빨
이뻐다	형용사	예쁘다
이사	명사	의사
이새	명사	이사
이수다	동사	잇다
이순	수·관	예순
이스다	동사	잇다
이스랭이	명사	이슬비
이시레이	명사	이슬비
이약	명사	이야기
이욍이	명사	용
이우다	동사	외다
이우지	명사	이웃
이원	명사	의원
이윽코	부사	이윽고
이을다	동사	열다
이을대	명사	열쇠
이을쇠	명사	열쇠
이읒	명사	이웃
이자	명·부	이제
이정	명사	이질
이제사	부사	이제야
이좌	명사	의자
이치	명사	여치
이케	품사 없음	이렇게
이퍼리	명사	이파리
이포리	명사	이파리
이핀네	명사	여편네
인나다	동사	일어나다
인자	명·부	이제
일곱여덟	수사	일고여덟
일구여덟	수사	일고여덟
일르다	동사	가리키다
일바씨다	동사	일으키다
일부레	부사	일부러
임물	명사	이물
입	명사	아가미
입감	명사	미끼
입갑	명사	미끼
입념	명사	잇몸
입마개	명사	부리망
입몸	명사	잇몸
입서리	명사	입술
입서벌	명사	입술
입서볼	명사	입술
입서불	명사	입술
입소리	명사	입술
입수버리	명사	입술
입아가리	명사	아가리
입짝	대명사	이쪽
잇다	동사	이다
잉글잉글하다	동사	이글이글하다
잉앳대	명사	잉앗대
잉이	명사	진드기
잎사	명사	잎사귀
잎삭	명사	잎사귀
잎새기	명사	잎사귀
자	명사	기와
자각돌	명사	자갈
자그만하다	형용사	자그마하다
자깡자깡	감탄사	짝짜꿍짝짜꿍
자깡자깡	명사	짝짜꿍짝짜꿍
자꾸	명사	돌쩌귀
자락	명사	자루
자르다	동사	자라다
자리	명사	자루
자리	명사	마디
자마리	명사	잠자리
자무락질	명사	무자맥질
자물대	명사	자물쇠
자방침	명사	재봉틀
자부둥	명사	깔개
자부룸	명사	졸음
자브럽다	동사	졸리다
자석	명사	자식
자슥	명사	자식
자야	명사	기와
자양	명사	재행
자올음	명사	졸음
자울리다	동사	졸리다
자잔거	명사	자전거
자재기	명사	자치기
자전게	명사	자전거
자진게	명사	자전거
자진기	명사	자전거
작두샴	명사	펌프
작뒤	명사	작두
작디이	명사	작대기
작은설날	명사	작은설
작은슬날	명사	작은설
작은옴마	명사	작은어머니
작은옴마	감탄사	작은어머니
작은큰아버지	감탄사	작은아버지
작은큰아버지	명사	작은아버지
작장작장	감탄사	짝짜꿍짝짜꿍
작장작장	명사	짝짜꿍짝짜꿍
잔나비	명사	원숭이
잔데기	명사	잔디
잔아부지	명사	작은아버지
잔아부지	감탄사	작은아버지
잔체	명사	잔치
잘개	명사	자리개
잘게	명사	자리개
잘기	명사	자루
잠꽌	부사	잠깐
잠꽌	명사	잠깐
잠방등거리	명사	잠방이
잠방중우	명사	잠방이
잠재리	명사	잠자리
잠절	명사	잠결
잠추이	명사	잠꾸러기
잠칭이	명사	잠꾸러기
잠퉁이	명사	잠꾸러기
잡하상점	명사	잡화상
잡핫가게	명사	잡화점
잡핫집	명사	잡화점
잣막대	명사	자치기를 할 때 쓰는 긴 막대
장강이	명사	정강이
장개이	명사	정강이
장겡이	명사	정강이
장구방	명사	장독대
장구아비	명사	장구벌레
장구애비	명사	장구벌레
장국	명사	수제비
장깨이셔	명사	가위바위보
장껑	명사	장끼
장꽌	부사	잠깐
장꽌	명사	잠깐
장꿩	명사	장끼
장다리	명사	장딴지
장다리무시	명사	장다리무
장돌	명사	장도리
장둑대	명사	장독대
장등	명사	등
장뚜께	명사	장독소래기
장물	명사	간장
장배기	명사	정수리
장시꾼	명사	장사꾼
장재기	명사	장작
재	명사	자
재갈	명사	자갈
재끼	명사	조끼
재롱하다	동사	재롱떨다
재룽	명사	재롱
재물통	명사	자물통
재밀개	명사	잿고무래
재방틀	명사	재봉틀
재봉침	명사	재봉틀
재아	명사	기와
재양	명사	재행
재와집	명사	기와집
재인	명사	장인
재장	명사	기왓장
재쪽	명사	자
재치기	명사	자치기
잰	명사	장인
잰나비	명사	원숭이
잰님	명사	대님
잼겨지다	동사	잠기다
잼뱅이	명사	잠방이
잿머리	명사	재
쟁기날	명사	보습
쟁인어른	감탄사	장인어른
쟁인어른	명사	장인어른
저게	대명사	저기
저글페	명사	그글피
저까치	명사	젓가락
저넉밥	명사	저녁밥
저누리	명사	곁두리
저니	대명사	저이
저닉	명사	저녁
저드랑밑	명사	겨드랑이
저뜨랑이	명사	겨드랑이
저론	명사	결혼
저를	의존 명사	겨를
저모레	명사	글피
저번달	명사	지난달
저번주	명사	지난주
저범	명사	젓가락
저봄	명사	젓가락
저분	명사	저번
저븐	명사	젓가락
저우	부사	겨우
저울철	명사	겨울철
저욹	명사	겨울
저재	명사	저자
저절루	부사	저절로
저트랑	명사	겨드랑
저트랑이	명사	겨드랑이
전북	명사	전복
전분	명사	젓가락
전수	부사	전부
전여	부사	전혀
절	명사	결
절구다	동사	절이다
절구땡이	명사	절굿공이
절굿대	명사	절굿공이
절굿댕이	명사	절굿공이
절굿방아	명사	절구
절까치	명사	젓가락
절딴나다	동사	결딴나다
절루	부사	절로
절룸발	명사	절름발
절리다	동사	결리다
절리다	동사	절이다
절벡	명사	절벽
절우다	동사	절이다
젊운내	명사	젊은이
점드락	부사	저물도록
점바치	명사	점쟁이
점슴	명사	점심
접것	명사	겹옷
접사둔	명사	겹사돈
접짝	대명사	저쪽
접체	명사	겹체
접치매	명사	겹치마
젓두리	명사	곁두리
젓말국	명사	젓국
젓방살이	명사	곁방살이
정개	명사	정주
정낭	명사	뒷간
정수배기	명사	정수리
정심때	명사	점심때
정얼	명사	정월
정영	명사	경영
정월	명사	저울
젖꼭다리	명사	젖꼭지
젖멕이	명사	젖먹이
제넉	명사	저녁
제넥	명사	저녁
제누리	명사	곁두리
제럽다	형용사	저리다
제리다	형용사	저리다
제모	명사	계모
제복	부사	제법
제와	부사	겨우
제자	명사	저자
제재	명사	저자
제절루	부사	저절로
제집	명사	계집
제집아	명사	계집애
젭히다	동사	접히다
젯가락	명사	젓가락
젲히다	동사	젖히다
조갑지	명사	조가비
조구	명사	조기
조구리	명사	조리
조기	명사	조개
조꼼	명사	조금
조꼼	부사	조금
조끼주머니	명사	귀주머니
조르다	동사	졸다
조릅다	동사	졸리다
조매	부사	좀처럼
조불다	동사	졸다
조선무수	명사	조선무
조우	명사	종이
조우떼기	명사	종이쪽
조으름	명사	졸음
조찹쌀	명사	차좁쌀
조희	명사	종이
족탑기	명사	족답기
졸루다	동사	조르다
졸르다	동사	조르다
졸림	명사	졸음
졸뱅이	명사	조리
졸이다	동사	줄이다
좀윷	명사	밤윷
종갱이	명사	정강이
종구레이	명사	종구라기
종그라기	명사	종구라기
종그래기	명사	바가지
종그래기	명사	종지
종발	명사	종지
종재	명사	종자
좩	명사	자갈
죙일	명사	종일
죙일	부사	종일
주덩이	명사	주둥이
주등이	명사	주둥이
주디	명사	주둥이
주렁박	명사	조롱박
주망이	명사	주머니
주머	명사	주머니
주머이	명사	주머니
주메니	명사	주머니
주목	명사	주먹
주미	명사	주머니
주미이	명사	주머니
주벅	명사	주걱
주봉	명사	바지
주준자	명사	주전자
주쳇돌	명사	주춧돌
주촛돌	명사	주춧돌
주춧독	명사	주춧돌
죽제	명사	등겨
죽죽	감탄사	오래오래
줄겁다	형용사	즐겁다
줄겡이	명사	줄기
중	의존 명사	줄
중발	명사	보시기
중백부	명사	작은아버지
중백부	감탄사	작은아버지
중사리	명사	중고기
중테기	명사	중고기
중피리	명사	중고기
쥐둥이	명사	주둥이
쥥	명사	중
즈그	대명사	저희
즑	명사	겨울
즘심밥	명사	점심밥
증대	명사	경대
증심	명사	점심
지	명사	김치
지	명사	제
지	명사	죄
지	명사	자기
지	대명사	자기
지	대명사	제
지기	명사	제기
지기미	명사	비듬
지깔이다	동사	지껄이다
지내가다	동사	지나가다
지냑	명사	저녁
지녁밥	명사	저녁밥
지누깨비	명사	진눈깨비
지눈깨비	명사	진눈깨비
지닉	명사	저녁
지다	동사	쥐다
지다맣다	형용사	기다랗다
지대로	부사	저절로
지두리	명사	지도리
지둘러지다	동사	어떤 사람이나 때가 오기를 바라는 마음이 생기
지둥	명사	기둥
지드개	명사	기지개
지때	명사	제때
지라다	동사	기르다
지랄벵	명사	지랄병
지랑	명사	간장
지럭시	명사	길이
지럭지	명사	길이
지렁	명사	간장
지렁물	명사	간장
지레기	명사	길이
지레이	명사	지렁이
지르마	명사	길마
지른내	명사	지린내
지리기	명사	기러기
지리다	형용사	저리다
지맛대로	부사	제멋대로
지무시다	동사	주무시다
지미	명사	기미
지부	명사	제비
지사상	명사	제사상
지삿날	명사	제삿날
지서리	명사	짓거리
지스락물	명사	낙숫물
지스랑물	명사	낙숫물
지슬	명사	기슭
지슬가지	명사	기슭
지슬각	명사	기슭
지슬거지	명사	기슭
지슬기	명사	기슭
지슬카리	명사	기슭
지시락	명사	기스락
지실강	명사	기슭
지실물	명사	낙숫물
지심매다	동사	김매다
지앗장	명사	기왓장
지야	명사	기와
지야집	명사	기와집
지얏장	명사	기왓장
지역	명사	저녁
지역나잘	명사	저녁나절
지우다	동사	깁다
지울	명사	저울
지웃거리다	동사	기웃거리다
지자	명사	제자
지저구리다	동사	지껄이다
지저기	명사	기저귀
지절로	부사	스스로
지절로	명사	스스로
지지기	명사	기지개
지지기	명사	두더지
지집애	명사	계집애
지집질	명사	계집질
지집질하다	동사	계집질하다
지짝	명사	제짝
지철	명사	제철
지치돌	명사	주춧돌
지칫독	명사	주춧돌
지패히	명사	지팡이
지팽히	명사	지팡이
직	의존 명사	적
직이다	동사	죽이다
진	명사	주인
진갈눈	명사	진눈깨비
진갈비	명사	진눈깨비
진누깨비	명사	진눈깨비
진는깨비	명사	진눈깨비
진달래꽃술	명사	진달래술
진달래주	명사	진달래술
진달리	명사	진달래
진달리꽃술	명사	진달래술
진더기	명사	진드기
진데	명사	진드기
진두물	명사	진딧물
진드물	명사	진딧물
진드미	명사	진드기
진버즘	명사	진버짐
진보짐	명사	진버짐
진손구락	명사	가운뎃손가락
진찬히	부사	괜히
진헉	명사	진흙
질거이	명사	질경이
질겁다	형용사	즐겁다
질괭이	명사	질경이
질금	명사	엿기름
질리다	동사	기르다
질매	명사	길마
질바닥	명사	길바닥
질쌈	명사	길쌈
질쌈하다	동사	길쌈하다
질이	명사	길이
짐	명사	아지랑이
짐	의존 명사	김
짐	명사	기미
짐마루	명사	용마루
짐장거리	명사	김장거리
짐장독	명사	김장독
짐장철	명사	김장철
짐치국	명사	김칫국
짐치말국	명사	김칫국
짐치몰국	명사	김칫국
집시락	명사	기스락
집어옇다	동사	집어넣다
짓	명사	깃
짓다	동사	나무나 풀 따위가 매우 무성하게 나
징검새우	명사	징거미새우
징조모	명사	증조모
징지징지	감탄사	곤지곤지
징지징지	명사	곤지곤지
짚썩은물	명사	지지랑물
짚해기	명사	짚홰기
짛다	동사	깁다
짜갈	명사	자갈
짜구	명사	자귀
짜급다	형용사	짜다
짜루다	형용사	짧다
짜릅다	형용사	짧다
짜리	명사	자루
짜리다	동사	자르다
짜아	명사	장어
짜어	명사	장어
짜울어지다	동사	갸울어지다
짝대이	명사	작대기
짝짱구	명사	짝짜꿍
짝짱구짝짱구	감탄사	짝짜꿍짝짜꿍
짝짱구짝짱구	명사	짝짜꿍짝짜꿍
짝짱짝짱	감탄사	짝짜꿍짝짜꿍
짝짱짝짱	명사	짝짜꿍짝짜꿍
짤룹다	형용사	짧다
짤릅다	형용사	짧다
짤부다	형용사	짧다
짬구다	동사	잠그다
짬매다	동사	잡아매다
짱구벌레	명사	장구벌레
짱다리	명사	장다리무
짱다리무시	명사	장다리무
짱아치	명사	장아찌
짱애	명사	장어
짱크다	동사	자르다
째끼	명사	조끼
짹째구리	명사	딱따구리
쨈매다	동사	잡아매다
쨈자리	명사	잠자리
쨍끼	명사	장끼
쩌입다	동사	껴입다
쩔구	명사	절구
쩔두발이	명사	절름발이
쩔둑발이	명사	절름발이
쩔뚜발이	명사	절름발이
쩔뚝배기	명사	절름발이
쩔뚝뱅이	명사	절름발이
쩔룩뱅이	명사	쩔룩발이
쩔룸발이	명사	절름발이
쩔름뱅이	명사	쩔름발이
쩜매다	동사	잡아매다
쩟국	명사	젓국
쩨비	명사	제비
쩿기다	동사	쫓기다
쪼갑지	명사	조가비
쪼개	명사	조개
쪼개다	동사	쪼그리다
쪼곰	명사	조금
쪼곰	부사	조금
쪼구	명사	조기
쪼글씨다	동사	쪼그리다
쪼기	명사	조기
쪼깨	명·부	조금
쪼께	부사	조금
쪼께	명사	조끼
쪼껜	명사	조금
쪼껜	부사	조금
쪼끼주머니	명사	귀주머니
쪼끼주머이	명사	귀주머니
쪼만하다	형용사	쪼그마하다
쪼매이	명사	조금
쪼매이	부사	조금
쪼매하다	형용사	조그마하다
쪼물락거리다	동사	조몰락거리다
쪼빡	명사	바가지
쪼치다	동사	쫓다
쪽	부사	바로
쪽박샘	명사	박우물
쪽베기	명사	조롱박
쪽지개	명사	벼훑이
쪽찌개	명사	벼훑이
쫄기	명사	줄기
쫄띠기	명사	졸병
쫄랑박	명사	조롱박
쫄장부	명사	졸장부
쫌	명사	조금
쫑	명사	종
쫑구렝이	명사	종구라기
쫑그래기	명사	종구라기
쫑그레미	명사	종구라기
쫑그레이	명사	종구라기
쫑글박	명사	종구라기
쫑니	명사	덧니
쫵	명사	자갈
쬐깨	명사	조끼
쬐꼼	명사	조금
쬐꼼	부사	조금
쬧기다	동사	쫓기다
쭈구렁살	명사	주름살
쭈굴살	명사	주름살
쭈굴음살	명사	주름살
쭈굼살	명사	주름살
쭈기럼살	명사	주름살
쭈럼살	명사	주름살
쭈름살	명사	주름살
쭉데기	명사	쭉정이
쭉제이	명사	쭉정이
쭉지	명사	지느러미
쭉지미	명사	주꾸미
쭉징이	명사	쭉정이
쭐이다	동사	줄이다
쯕다	형용사	작다
쯤	의존 명사	즘
찌개	명사	벼훑이
찌게미	명사	비듬
찌깽이	명사	찌꺼기
찌께	명사	찌꺼기
찌께기	명사	찌꺼기
찌꼐이	명사	찌꺼기
찌꾸	명사	포마드
찌끄리기	명사	찌꺼기
찌르다	동사	긷다
찌른내	명사	지린내
찌리다	동사	지리다
찌리찌리	부사	끼리끼리
찌링이	명사	지렁이
찌미	명사	기미
찌불이다	동사	기울이다
찌우다	동사	끼우다
찌울리다	동사	기울이다
찌울이다	동사	기울이다
찌지다	동사	지지다
찍자	명사	찌그렁이
찔기다	형용사	질기다
찔루	명사	찔레
찔르다	동사	찌르다
찔쭉하다	형용사	길쭉하다
찔퍽찔퍽하다	형용사	질퍽질퍽하다
찜매다	동사	잡아매다
찝어까다	동사	꼬집다
찝적거리다	동사	집적거리다
차급다	형용사	차갑다
차나락	명사	찰벼
차래이	명사	잠자리
차랭이	명사	잠자리
차리	명사	차례
차리	명사	차례
차몰미	명사	차멀미
차수숙	명사	차조
차우	명사	덫
차위	명사	덫
착상	명사	책상
찬차히	부사	천천히
찬찬이	부사	찬찬히
참	명사	짬
참기	명사	참게
참꼿	명사	진달래꽃
참꽃술	명사	진달래술
참꽤	명사	참깨
참딸	명사	산딸기
참빚	명사	참빗
참연	명사	방패연
참우	명사	참외
참챔이	부사	짬짬이
창대기	명사	창자
창살	명사	작살
창새기	명사	창자
창수	명사	창자
창시기	명사	창자
창씨	명사	창자
창지간	명사	헛간
채고	부사	가장
채다	동사	꾸다
책괴	명사	책궤
챔	의존 명사	참
챔빚	명사	참빗
챙구다	동사	잠그다
챙이	명사	참외
챙피허다	형용사	창피하다
처막	명사	뜰
