dialect	pos	standard
여을	명사	여울
엿세	명사	엿새
오강	명사	요강
오굼	명사	오금
오빼미	명사	올빼미
오양간	명사	외양간
올개미	명사	올가미
올채이	명사	올챙이
왦기다	동사	옮기다
우숩다	형용사	우습다
원새이	명사	원숭이
원생이	명사	원숭이
웬수	명사	원수
윳	명사	윷
으른	명사	어른
이실	명사	이슬
일굽	수·관	일곱
작은아부지	명사	작은아버지
작은아부지	감탄사	작은아버지
잘르다	동사	자르다
쟁끼	명사	장끼
저누다	동사	겨누다
저드랑	명사	겨드랑
저드랭이	명사	겨드랑이
저울	명사	겨울
접옷	명사	겹옷
정기하다	동사	경기하다
젖	명사	젓
젙	명사	곁
젙눈질	명사	곁눈질
조개비	명사	조가비
종재기	명사	종지
주군깨	명사	주근깨
줄	명사	귤
줏다	동사	줍다
지다	동사	깁다
지래	명사	지라
지봉	명사	지붕
지비	명사	제비
지저구	명사	기저귀
진디기	명사	진드기
질	명사	길
질갱이	명사	질경이
질다	형용사	길다
짐치	명사	김치
집세기	명사	짚신
짓	명사	깃
징게미	명사	징거미
짚다	형용사	깊다
짤르다	동사	자르다
쩔뚝발	명사	절름발
쪼끼	명사	조끼
쪽제비	명사	족제비
쪽집게	명사	족집게
참지름	명사	참기름
춘설각	명사	추녀각
춤	명사	침
츰	명사	처음
치	명사	키
치	명사	키
치다보다	동사	쳐다보다
치매	명사	치마
칙간	명사	측간
큰아부지	명사	큰아버지
큰아부지	감탄사	큰아버지
폭	명사	포기
푀기	명사	포기
하리	명사	화로
할아부지	명사	할아버지
할아부지	감탄사	할아버지
행길	명사	한길
허페	명사	허파
호랭이	명사	호랑이
호멩이	명사	호미
혼역	명사	홍역
홀에미	명사	홀어미
화루	명사	화로
가는비	명사	가랑비
가라이	명사	가랑이
가루다	동사	가르다
가르매	명사	가르마
가름마	명사	가르마
가름매	명사	가르마
가리다	동사	가르다
가리매	명사	가르마
가매	명사	가마
가매솥	명사	가마솥
가법다	형용사	가볍다
가상이	명사	가
가새	명사	가위
가새다리	명사	가위다리
가실	명사	가을
가주오다	동사	가져오다
가지고오다	동사	가져오다
가지풀	명사	강아지풀
가찹다	형용사	가깝다
가첩다	형용사	가깝다
가트다	형용사	같다
갈가마귀	명사	갈까마귀
갈가마기	명사	갈까마귀
갈비뻬	명사	갈비뼈
갈퀴	명사	갈고리
갈키	명사	갈고리
갈키다	동사	가르치다
갓	명사	가
갖고오다	동사	가져오다
개겁다	형용사	가볍다
개나리꼿	명사	나리꽃
개똥벌거지	명사	반딧불이
개럽다	형용사	가렵다
개렵다	형용사	가렵다
개롭다	형용사	가렵다
개룹다	형용사	가렵다
개법다	형용사	가볍다
개볍다	형용사	가볍다
개얌	명사	개암
개와집	명사	기와집
개찹다	형용사	가깝다
갠이	부사	공연히
갠지럽다	형용사	가렵다
갠찮다	형용사	괜찮다
갯주머니	명사	주머니
갱변	명사	강변
갱아지	명사	강아지
갸	명사	기와
거슬리다	동사	거스르다
